team_id,team_name,match_date,opponent,home_away,team_score,opponent_score,espn_event_id,espn_event_url,team_odds_american,opponent_odds_american,draw_odds_american
624,Algeria,2025-12-31,Equatorial Guinea,away,3,1,732165,https://www.espn.com/soccer/match/_/gameId/732165/algeria-equatorial-guinea,-213,+625,+300
624,Algeria,2025-12-24,Sudan,home,3,0,732143,https://www.espn.com/soccer/match/_/gameId/732143/sudan-algeria,-333,+900,+425
624,Algeria,2025-10-14,Uganda,home,2,1,687302,https://www.espn.com/soccer/match/_/gameId/687302/uganda-algeria,-208,+600,+310
624,Algeria,2025-11-18,Saudi Arabia,away,2,0,760377,https://www.espn.com/soccer/match/_/gameId/760377/algeria-saudi-arabia,+100,+240,+240
624,Algeria,2026-03-31,Uruguay,home,0,0,401862321,https://www.espn.com/soccer/match/_/gameId/401862321/uruguay-algeria,+260,-105,+240
624,Algeria,2025-03-25,Mozambique,home,5,1,687298,https://www.espn.com/soccer/match/_/gameId/687298/mozambique-algeria,-370,+1150,+425
624,Algeria,2025-06-10,Sweden,away,3,4,735176,https://www.espn.com/soccer/match/_/gameId/735176/algeria-sweden,+240,-110,+240
624,Algeria,2026-01-06,Congo DR,home,1,0,732175,https://www.espn.com/soccer/match/_/gameId/732175/congo-dr-algeria,+105,+300,+195
624,Algeria,2025-09-04,Botswana,home,3,1,687299,https://www.espn.com/soccer/match/_/gameId/687299/botswana-algeria,-400,+1200,+450
624,Algeria,2025-10-09,Somalia,away,3,0,687301,https://www.espn.com/soccer/match/_/gameId/687301/algeria-somalia,-3333,+4000,+1800
624,Algeria,2025-11-13,Zimbabwe,home,3,1,760378,https://www.espn.com/soccer/match/_/gameId/760378/zimbabwe-algeria,-263,+800,+333
624,Algeria,2025-06-05,Rwanda,home,2,0,735520,https://www.espn.com/soccer/match/_/gameId/735520/rwanda-algeria,,,
624,Algeria,2025-12-28,Burkina Faso,home,1,0,732153,https://www.espn.com/soccer/match/_/gameId/732153/burkina-faso-algeria,-125,+400,+230
624,Algeria,2025-05-03,Gambia,away,0,0,734422,https://www.espn.com/soccer/match/_/gameId/734422/algeria-gambia,,,
624,Algeria,2026-01-10,Nigeria,home,0,2,732180,https://www.espn.com/soccer/match/_/gameId/732180/nigeria-algeria,+210,+150,+187
624,Algeria,2025-08-23,Sudan,away,1,1,757053,https://www.espn.com/soccer/match/_/gameId/757053/algeria-sudan,,,
624,Algeria,2025-09-08,Guinea,away,0,0,687300,https://www.espn.com/soccer/match/_/gameId/687300/algeria-guinea,-110,+333,+230
624,Algeria,2025-06-09,Rwanda,home,2,0,736118,https://www.espn.com/soccer/match/_/gameId/736118/rwanda-algeria,,,
624,Algeria,2025-08-04,Uganda,away,3,0,748066,https://www.espn.com/soccer/match/_/gameId/748066/algeria-uganda,,,
