Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,14/12/13,Ajaccio,Lorient,1,2,1,1,275,220,105,137,-149,0.5
F1,14/12/13,Evian Thonon Gaillard,Reims,1,1,0,0,110,210,275,141,-154,-0.25
F1,14/12/13,Guingamp,Monaco,0,2,0,2,400,250,-137,129,-139,0.5
F1,14/12/13,Nantes,Toulouse,1,2,0,0,105,210,300,150,-161,-0.5
F1,14/12/13,Nice,Sochaux,1,0,1,0,-120,225,375,119,-127,-0.5
F1,14/12/13,Rennes,Paris SG,1,3,0,1,750,375,-278,-128,119,1.5
F1,15/12/13,Bordeaux,Valenciennes,2,1,0,0,-175,250,600,138,-143,-1
F1,15/12/13,Lille,Bastia,2,1,2,1,-227,320,650,-103,101,-1
F1,15/12/13,Lyon,Marseille,2,2,2,1,100,230,280,137,-149,-0.5
F1,20/12/13,Monaco,Valenciennes,1,2,0,1,-455,475,1200,-118,115,-1.5
F1,21/12/13,Bastia,Montpellier,0,0,0,0,150,210,190,122,-127,0
F1,21/12/13,Nice,Evian Thonon Gaillard,3,1,0,1,-110,220,333,140,-143,-0.5
F1,21/12/13,Reims,Ajaccio,4,1,0,0,-149,250,450,135,-149,-1
F1,21/12/13,Sochaux,Rennes,2,1,1,1,200,210,145,123,-133,0.25
F1,21/12/13,St Etienne,Nantes,2,0,1,0,-133,240,400,140,-152,-0.75
F1,21/12/13,Toulouse,Guingamp,0,0,0,0,-133,240,400,150,-161,-0.75
F1,22/12/13,Lorient,Lyon,2,2,0,1,150,210,190,123,-123,0
F1,22/12/13,Marseille,Bordeaux,2,2,0,1,-105,225,300,127,-133,-0.5
F1,22/12/13,Paris SG,Lille,2,2,1,1,-250,350,700,-114,105,-1.5
F1,08/01/14,St Etienne,Evian Thonon Gaillard,1,0,1,0,-189,300,500,-111,105,-1
F1,10/01/14,Montpellier,Monaco,1,1,0,0,360,230,-120,134,-143,0.5
F1,11/01/14,Ajaccio,Paris SG,1,2,1,1,1200,550,-500,-139,138,1.75
F1,11/01/14,Bordeaux,Toulouse,0,1,0,0,100,210,320,144,-154,-0.5
F1,11/01/14,Guingamp,St Etienne,0,0,0,0,210,210,138,142,-152,0
F1,11/01/14,Lyon,Sochaux,2,0,0,0,-250,350,700,-118,114,-1.25
F1,11/01/14,Rennes,Nice,0,0,0,0,110,210,275,125,-133,-0.5
F1,11/01/14,Valenciennes,Bastia,3,2,2,0,105,230,260,145,-149,-0.5
F1,12/01/14,Evian Thonon Gaillard,Marseille,1,2,1,2,260,210,115,125,-128,0.25
F1,12/01/14,Lille,Reims,1,2,0,0,-227,320,650,125,-128,-1.25
F1,12/01/14,Nantes,Lorient,1,0,0,0,115,220,250,130,-137,-0.25
F1,17/01/14,St Etienne,Lille,2,0,0,0,145,200,210,165,-167,0
F1,18/01/14,Bastia,Bordeaux,1,0,1,0,175,200,170,138,-143,0
F1,18/01/14,Lorient,Guingamp,2,0,2,0,-110,220,333,125,-125,-0.5
