Div,Div,Div,Div,Div,Div,Div,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
D1,19/01/2021,19:30,Mainz,Wolfsburg,0,2,0,0,300,300,-125,-152,120,0.75
D1,20/01/2021,17:30,Schalke 04,FC Koln,1,2,0,1,155,230,175,110,-139,0
D1,20/01/2021,19:30,Augsburg,Bayern Munich,0,1,0,1,1200,600,-500,-333,250,2.25
D1,20/01/2021,19:30,Bielefeld,Stuttgart,3,0,1,0,333,290,-133,-125,100,0.5
D1,20/01/2021,19:30,Freiburg,Ein Frankfurt,2,2,1,1,190,250,137,-164,130,0.25
D1,20/01/2021,19:30,RB Leipzig,Union Berlin,1,0,0,0,-200,333,600,-139,110,-1
D1,22/01/2021,19:30,M'gladbach,Dortmund,4,2,2,2,230,275,110,-227,175,0.5
D1,23/01/2021,14:30,Augsburg,Union Berlin,2,1,1,1,275,240,105,100,-125,0.25
D1,23/01/2021,14:30,Bielefeld,Ein Frankfurt,1,5,1,3,375,280,-133,-139,110,0.75
D1,23/01/2021,14:30,Freiburg,Stuttgart,2,1,2,1,162,275,150,-175,137,0.25
D1,23/01/2021,14:30,Leverkusen,Wolfsburg,0,1,0,1,105,260,250,-139,110,-0.25
D1,23/01/2021,14:30,Mainz,RB Leipzig,3,2,2,2,650,400,-278,-152,120,1.25
D1,23/01/2021,17:30,Hertha,Werder Bremen,1,4,1,2,110,250,260,120,-152,-0.25
D1,24/01/2021,14:30,Schalke 04,Bayern Munich,0,4,0,1,1500,750,-714,-455,333,2.25
D1,24/01/2021,17:00,Hoffenheim,FC Koln,3,0,2,0,-133,275,350,-139,110,-0.75
D1,29/01/2021,19:30,Stuttgart,Mainz,2,0,0,0,-164,300,400,-189,150,-1
D1,30/01/2021,14:30,Bayern Munich,Hoffenheim,4,1,2,1,-500,700,1000,-455,333,-2
D1,30/01/2021,14:30,Dortmund,Augsburg,3,1,1,1,-400,550,800,-278,220,-2
D1,30/01/2021,14:30,Ein Frankfurt,Hertha,3,1,0,0,-133,280,350,-164,130,-0.75
D1,30/01/2021,14:30,Union Berlin,M'gladbach,1,1,1,0,220,240,125,-125,100,0.25
D1,30/01/2021,14:30,Werder Bremen,Schalke 04,1,1,0,1,-111,250,300,-111,-111,-0.25
D1,30/01/2021,17:30,RB Leipzig,Leverkusen,1,0,0,0,-111,260,300,-139,110,-0.5
D1,31/01/2021,14:30,FC Koln,Bielefeld,3,1,2,0,125,240,220,120,-152,-0.25
D1,31/01/2021,17:00,Wolfsburg,Freiburg,3,0,2,0,-118,280,300,-139,110,-0.5
D1,05/02/2021,19:00,Hertha,Bayern Munich,0,1,0,1,600,475,-278,-303,240,1.75
D1,06/02/2021,14:30,Augsburg,Wolfsburg,0,2,0,1,375,260,-133,-111,-111,0.75
D1,06/02/2021,14:30,Freiburg,Dortmund,2,1,0,0,425,333,-175,-189,150,1
D1,06/02/2021,14:30,Leverkusen,Stuttgart,5,2,2,0,100,275,250,-189,150,-0.5
D1,06/02/2021,14:30,Mainz,Union Berlin,1,0,1,0,230,240,120,100,-125,0.25
D1,06/02/2021,14:30,Schalke 04,RB Leipzig,0,3,0,1,800,475,-333,-189,150,1.5
D1,06/02/2021,17:30,M'gladbach,FC Koln,1,2,1,1,-222,350,550,-139,110,-1
D1,07/02/2021,14:30,Hoffenheim,Ein Frankfurt,1,3,0,1,190,280,125,-250,200,0.25
D1,12/02/2021,19:30,RB Leipzig,Augsburg,2,1,2,0,-455,550,1000,-175,137,-1.75
D1,13/02/2021,14:30,Dortmund,Hoffenheim,2,2,1,1,-222,380,525,-278,220,-1.25
D1,13/02/2021,14:30,Leverkusen,Mainz,2,2,1,0,-250,400,550,-175,137,-1
D1,13/02/2021,14:30,Stuttgart,Hertha,1,1,1,0,115,260,210,-175,137,-0.25
D1,13/02/2021,14:30,Werder Bremen,Freiburg,0,0,0,0,180,230,145,100,-125,0
D1,13/02/2021,17:30,Union Berlin,Schalke 04,0,0,0,0,-133,260,400,100,-125,-0.75
D1,14/02/2021,14:30,Ein Frankfurt,FC Koln,2,0,0,0,-222,350,600,-175,137,-1
D1,14/02/2021,17:00,Wolfsburg,M'gladbach,0,0,0,0,137,250,190,-139,110,-0.25
D1,15/02/2021,19:30,Bayern Munich,Bielefeld,3,3,0,2,-1000,800,2000,-357,275,-2.25
D1,19/02/2021,19:30,Bielefeld,Wolfsburg,0,3,0,1,450,275,-154,-111,-111,1
D1,20/02/2021,14:30,Ein Frankfurt,Bayern Munich,2,1,2,0,300,333,-133,-333,250,0.75
D1,20/02/2021,14:30,FC Koln,Stuttgart,0,1,0,0,250,260,105,-139,110,0.5
D1,20/02/2021,14:30,Freiburg,Union Berlin,0,1,0,0,140,220,210,110,-139,-0.25
D1,20/02/2021,14:30,M'gladbach,Mainz,1,2,1,1,-164,300,425,-164,130,-0.75
D1,20/02/2021,17:30,Schalke 04,Dortmund,0,4,0,2,800,475,-333,-227,175,1.75
D1,21/02/2021,12:30,Augsburg,Leverkusen,1,1,1,0,450,300,-164,-152,120,1
D1,21/02/2021,14:30,Hertha,RB Leipzig,0,3,0,1,425,290,-154,-139,110,1
D1,21/02/2021,17:00,Hoffenheim,Werder Bremen,4,0,2,0,105,260,250,-139,110,-0.25
D1,26/02/2021,19:30,Werder Bremen,Ein Frankfurt,2,1,0,1,333,280,-133,-101,-110,0.75
D1,27/02/2021,14:30,Bayern Munich,FC Koln,5,1,2,0,-625,650,1400,-303,240,-2
D1,27/02/2021,14:30,Dortmund,Bielefeld,3,0,0,0,-556,600,1400,-250,200,-1.75
D1,27/02/2021,14:30,Stuttgart,Schalke 04,5,1,3,1,-222,350,550,-175,137,-1
D1,27/02/2021,14:30,Wolfsburg,Hertha,2,0,1,0,-143,300,375,-125,100,-0.5
D1,27/02/2021,17:30,RB Leipzig,M'gladbach,3,2,0,2,-167,320,425,-152,120,-1
D1,28/02/2021,12:30,Union Berlin,Hoffenheim,1,1,1,1,137,250,190,-125,100,0
D1,28/02/2021,14:30,Mainz,Augsburg,0,1,0,1,100,260,260,101,-112,-0.5
D1,28/02/2021,17:00,Leverkusen,Freiburg,1,2,0,0,-125,260,350,-152,120,-0.75
D1,05/03/2021,19:30,Schalke 04,Mainz,0,0,0,0,260,260,100,102,-114,0.25
D1,06/03/2021,14:30,Ein Frankfurt,Stuttgart,1,1,0,0,-105,275,275,-227,175,-0.5
D1,06/03/2021,14:30,Freiburg,RB Leipzig,0,3,0,1,400,300,-152,-152,120,0.75
D1,06/03/2021,14:30,Hertha,Augsburg,2,1,0,1,-111,250,310,110,-139,-0.25
D1,06/03/2021,14:30,Hoffenheim,Wolfsburg,2,1,2,1,190,240,140,-152,120,0
D1,06/03/2021,14:30,M'gladbach,Leverkusen,0,1,0,0,155,260,160,-139,110,0
D1,06/03/2021,17:30,Bayern Munich,Dortmund,4,2,2,2,-154,350,350,-333,250,-1
D1,07/03/2021,14:30,FC Koln,Werder Bremen,1,1,0,0,190,225,150,130,-164,0.25
D1,07/03/2021,17:00,Bielefeld,Union Berlin,0,0,0,0,300,250,-111,130,-164,0.5
D1,10/03/2021,17:30,Bielefeld,Werder Bremen,0,2,0,0,230,230,120,130,-164,0.25
D1,12/03/2021,19:30,Augsburg,M'gladbach,3,1,0,0,300,280,-118,-125,100,0.75
D1,13/03/2021,14:30,Mainz,Freiburg,1,0,0,0,155,250,162,-111,-111,-0.25
D1,13/03/2021,14:30,Union Berlin,FC Koln,2,1,0,1,-111,250,320,130,-164,-0.5
D1,13/03/2021,14:30,Werder Bremen,Bayern Munich,1,3,0,2,900,550,-400,-278,220,2
D1,13/03/2021,14:30,Wolfsburg,Schalke 04,5,0,1,0,-303,425,800,-152,120,-1.25
D1,13/03/2021,17:30,Dortmund,Hertha,2,0,0,0,-200,350,500,-189,150,-1
D1,14/03/2021,12:30,Leverkusen,Bielefeld,1,2,0,1,-278,375,800,-152,120,-1.25
D1,14/03/2021,14:30,RB Leipzig,Ein Frankfurt,1,1,0,0,-125,280,320,-175,137,-0.75
D1,14/03/2021,17:00,Stuttgart,Hoffenheim,2,0,1,0,145,260,170,-227,175,0
D1,19/03/2021,19:30,Bielefeld,RB Leipzig,0,1,0,0,800,375,-303,-139,110,1.25
D1,20/03/2021,14:30,Bayern Munich,Stuttgart,4,0,4,0,-500,600,1000,-455,333,-1.75
D1,20/03/2021,14:30,Ein Frankfurt,Union Berlin,5,2,4,2,-118,300,280,-125,100,-0.5
D1,20/03/2021,14:30,FC Koln,Dortmund,2,2,1,1,700,375,-250,-175,137,1.25
D1,20/03/2021,14:30,Werder Bremen,Wolfsburg,1,2,1,2,350,260,-125,-111,-111,0.5
D1,20/03/2021,17:30,Schalke 04,M'gladbach,0,3,0,1,650,350,-227,-175,137,1.25
D1,21/03/2021,12:30,Hoffenheim,Mainz,1,2,1,2,-111,275,280,-152,120,-0.5
D1,21/03/2021,14:30,Hertha,Leverkusen,3,0,3,0,240,260,105,-111,-111,0.5
D1,21/03/2021,17:00,Freiburg,Augsburg,2,0,0,0,-105,240,300,100,-125,-0.5
D1,03/04/2021,14:30,Augsburg,Hoffenheim,2,1,2,0,260,280,-111,-152,120,0.5
D1,03/04/2021,14:30,Dortmund,Ein Frankfurt,1,2,1,1,-139,320,320,-227,175,-0.75
D1,03/04/2021,14:30,Leverkusen,Schalke 04,2,1,1,0,-455,550,1100,-227,175,-1.5
D1,03/04/2021,14:30,Mainz,Bielefeld,1,1,0,0,-139,260,375,-111,-111,-0.5
D1,03/04/2021,14:30,Wolfsburg,FC Koln,1,0,0,0,-200,333,500,-125,100,-0.75
D1,03/04/2021,17:30,RB Leipzig,Bayern Munich,0,1,0,1,170,280,137,-164,130,0
D1,03/04/2021,19:30,M'gladbach,Freiburg,2,1,0,1,-133,300,310,-152,120,-0.75
D1,04/04/2021,14:30,Stuttgart,Werder Bremen,1,0,0,0,-111,260,300,-125,100,-0.5
D1,04/04/2021,17:00,Union Berlin,Hertha,1,1,1,1,140,230,187,110,-139,0
D1,09/04/2021,19:30,Bielefeld,Freiburg,1,0,0,0,187,230,145,120,-152,0
D1,10/04/2021,14:30,Bayern Munich,Union Berlin,1,1,0,0,-227,375,550,-189,150,-0.5
D1,10/04/2021,14:30,Ein Frankfurt,Wolfsburg,4,3,2,1,137,250,190,-139,110,0
D1,10/04/2021,14:30,Hertha,M'gladbach,2,2,1,2,220,250,120,-139,110,0.25
D1,10/04/2021,14:30,Werder Bremen,RB Leipzig,1,4,0,3,700,375,-250,-125,100,1.5
D1,10/04/2021,17:30,Stuttgart,Dortmund,2,3,1,0,300,280,-120,-227,175,0.75
D1,11/04/2021,14:30,Schalke 04,Augsburg,1,0,1,0,220,240,125,120,-152,0
D1,11/04/2021,17:00,FC Koln,Mainz,2,3,1,1,200,230,140,110,-139,0
D1,12/04/2021,19:30,Hoffenheim,Leverkusen,0,0,0,0,187,260,130,-175,137,0.25
D1,16/04/2021,19:30,RB Leipzig,Hoffenheim,0,0,0,0,-278,425,650,-189,150,-1.5
D1,17/04/2021,14:30,Augsburg,Bielefeld,0,0,0,0,145,230,190,120,-152,-0.25
D1,17/04/2021,14:30,Freiburg,Schalke 04,4,0,2,0,-154,320,375,-111,-111,-0.75
D1,17/04/2021,14:30,M'gladbach,Ein Frankfurt,4,0,1,0,150,260,160,-227,175,0
D1,17/04/2021,14:30,Union Berlin,Stuttgart,2,1,2,0,120,250,210,-111,-111,-0.25
D1,17/04/2021,14:30,Wolfsburg,Bayern Munich,2,3,1,3,250,300,-111,-189,150,0.5
D1,17/04/2021,17:30,Leverkusen,FC Koln,3,0,1,0,-164,290,450,-139,110,-1
