Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,09/12/12,M'gladbach,Mainz,2,0,0,0,140,230,190,-104,-119,-0.25
D1,14/12/12,Bayern Munich,M'gladbach,1,1,0,1,-714,650,1600,-270,191,-2.25
D1,15/12/12,Fortuna Dusseldorf,Hannover,2,1,1,0,175,230,150,103,-130,0
D1,15/12/12,Greuther Furth,Augsburg,1,1,0,1,138,220,200,131,-169,0
D1,15/12/12,Leverkusen,Hamburg,3,0,2,0,-167,300,425,-139,110,-1
D1,15/12/12,Mainz,Stuttgart,3,1,0,0,125,240,210,-119,-104,-0.25
D1,15/12/12,Schalke 04,Freiburg,1,3,1,2,-149,275,400,-132,105,-0.75
D1,15/12/12,Wolfsburg,Ein Frankfurt,0,2,0,2,110,250,230,-159,124,-0.25
D1,16/12/12,Hoffenheim,Dortmund,1,3,1,1,600,333,-227,-172,131,1
D1,16/12/12,Werder Bremen,Nurnberg,1,1,0,0,-120,300,275,-143,112,-0.75
D1,18/01/13,Schalke 04,Hannover,5,4,1,0,-149,280,400,-159,124,-1
D1,19/01/13,Bayern Munich,Greuther Furth,2,0,1,0,-1000,900,1800,-294,208,-2.5
D1,19/01/13,Hoffenheim,M'gladbach,0,0,0,0,138,240,190,-115,-110,0
D1,19/01/13,Leverkusen,Ein Frankfurt,3,1,2,0,-149,300,375,-189,142,-1
D1,19/01/13,Mainz,Freiburg,0,0,0,0,120,225,230,102,-130,-0.5
D1,19/01/13,Werder Bremen,Dortmund,0,5,0,2,400,275,-149,-182,136,1
D1,19/01/13,Wolfsburg,Stuttgart,2,0,0,0,110,250,230,-132,104,-0.5
D1,20/01/13,Fortuna Dusseldorf,Augsburg,2,3,0,2,130,230,210,116,-149,0
D1,20/01/13,Nurnberg,Hamburg,1,1,0,0,130,220,220,107,-137,0
D1,25/01/13,Dortmund,Nurnberg,3,0,2,0,-556,550,1400,-227,165,-2
D1,26/01/13,Augsburg,Schalke 04,0,0,0,0,260,250,100,-123,-102,0.5
D1,26/01/13,Ein Frankfurt,Hoffenheim,2,1,1,0,-105,260,260,-156,123,-0.5
D1,26/01/13,Freiburg,Leverkusen,0,0,0,0,175,230,150,-116,-108,0
D1,26/01/13,Greuther Furth,Mainz,0,3,0,0,210,230,130,120,-154,0
D1,26/01/13,Hannover,Wolfsburg,2,1,2,0,110,250,230,-143,113,-0.25
D1,26/01/13,M'gladbach,Fortuna Dusseldorf,2,1,2,0,-161,280,450,101,-128,-1
D1,27/01/13,Hamburg,Werder Bremen,3,2,1,1,138,250,180,-149,117,0
D1,27/01/13,Stuttgart,Bayern Munich,0,2,0,0,700,350,-250,-192,142,1.5
D1,01/02/13,Werder Bremen,Hannover,2,0,0,0,-118,280,280,-204,153,-0.5
D1,02/02/13,Fortuna Dusseldorf,Stuttgart,3,1,2,0,220,225,125,-102,-123,0.25
D1,02/02/13,Hamburg,Ein Frankfurt,0,2,0,2,130,240,200,-143,114,0
D1,02/02/13,Hoffenheim,Freiburg,2,1,2,1,150,230,175,-108,-118,-0.25
D1,02/02/13,Mainz,Bayern Munich,0,3,0,1,700,350,-250,-143,114,1.5
D1,02/02/13,Schalke 04,Greuther Furth,1,2,0,0,-303,400,800,-159,124,-1.5
D1,02/02/13,Wolfsburg,Augsburg,1,1,1,1,-120,250,333,-101,-125,-0.5
D1,03/02/13,Leverkusen,Dortmund,2,3,0,2,230,250,110,-147,115,0.25
D1,03/02/13,Nurnberg,M'gladbach,2,1,2,0,140,220,200,123,-159,0
D1,09/02/13,Bayern Munich,Schalke 04,4,0,2,0,-400,450,1100,-208,155,-1.75
D1,09/02/13,Dortmund,Hamburg,1,4,1,2,-400,500,900,-222,162,-1.5
D1,09/02/13,Ein Frankfurt,Nurnberg,0,0,0,0,-120,250,333,-132,104,-0.5
D1,09/02/13,Greuther Furth,Wolfsburg,0,1,0,1,188,230,140,111,-141,0.25
D1,09/02/13,Hannover,Hoffenheim,1,0,1,0,120,240,220,-145,114,-0.25
D1,09/02/13,M'gladbach,Leverkusen,3,3,1,0,210,240,125,-111,-114,0.25
D1,09/02/13,Stuttgart,Werder Bremen,1,4,0,1,125,250,200,-182,137,-0.25
D1,10/02/13,Augsburg,Mainz,1,1,0,1,160,220,175,115,-147,0
D1,10/02/13,Freiburg,Fortuna Dusseldorf,1,0,0,0,-161,275,450,101,-128,-1
D1,15/02/13,Wolfsburg,Bayern Munich,0,2,0,1,600,375,-250,-145,114,1.5
D1,16/02/13,Dortmund,Ein Frankfurt,3,0,2,0,-250,375,650,-233,165,-1.5
D1,16/02/13,Fortuna Dusseldorf,Greuther Furth,1,0,1,0,130,220,220,118,-152,0
D1,16/02/13,Hamburg,M'gladbach,1,0,1,0,-110,250,300,-114,-111,-0.5
D1,16/02/13,Leverkusen,Augsburg,2,1,1,0,-200,310,550,-132,104,-1
D1,16/02/13,Mainz,Schalke 04,2,2,1,1,125,240,210,-114,-111,-0.25
D1,16/02/13,Werder Bremen,Freiburg,2,3,1,1,100,250,260,-147,116,-0.5
