Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,11/11/2018,Celta,Real Madrid,2,4,0,1,400,350,-182,-263,198,1
SP1,11/11/2018,Sevilla,Espanol,2,1,0,1,-133,260,350,-130,104,-1
SP1,11/11/2018,Vallecano,Villarreal,2,2,1,1,210,240,125,-114,-109,0.25
SP1,23/11/2018,Leganes,Alaves,1,0,1,0,120,210,260,156,-200,-0.25
SP1,24/11/2018,Ath Madrid,Barcelona,1,1,0,0,200,230,137,-109,-114,0.25
SP1,24/11/2018,Eibar,Real Madrid,3,0,1,0,500,333,-189,-222,-145,1
SP1,24/11/2018,Huesca,Levante,2,2,1,1,125,240,225,101,-125,-0.25
SP1,24/11/2018,Valencia,Vallecano,3,0,1,0,-227,350,650,-139,112,-1
SP1,25/11/2018,Ath Bilbao,Getafe,1,1,0,0,104,230,290,144,-182,-0.25
SP1,25/11/2018,Espanol,Girona,1,3,0,2,-152,260,475,118,-147,-1
SP1,25/11/2018,Sevilla,Valladolid,1,0,1,0,-250,375,700,-175,138,-1
SP1,25/11/2018,Villarreal,Betis,2,1,0,0,114,240,240,-128,103,-0.25
SP1,26/11/2018,Sociedad,Celta,2,1,1,0,-118,275,320,-120,-102,-0.75
SP1,30/11/2018,Vallecano,Eibar,1,0,0,0,210,230,130,-115,-108,0.25
SP1,01/12/2018,Celta,Huesca,2,0,1,0,-156,300,400,-132,105,-1
SP1,01/12/2018,Getafe,Espanol,3,0,0,0,140,187,240,157,-204,-0.25
SP1,01/12/2018,Real Madrid,Valencia,2,0,1,0,-227,375,600,-200,155,-1
SP1,01/12/2018,Valladolid,Leganes,2,4,0,2,137,210,230,173,-227,-0.25
SP1,02/12/2018,Alaves,Sevilla,1,1,1,0,260,260,100,-130,103,0.25
SP1,02/12/2018,Barcelona,Villarreal,2,0,1,0,-400,550,1000,-303,223,-2
SP1,02/12/2018,Betis,Sociedad,1,0,1,0,120,230,240,-101,-122,-0.25
SP1,02/12/2018,Girona,Ath Madrid,1,1,1,0,450,240,-133,144,-185,1
SP1,03/12/2018,Levante,Ath Bilbao,3,0,1,0,175,240,154,-108,-115,0.25
SP1,07/12/2018,Leganes,Getafe,1,1,0,1,162,190,200,189,-200,0
SP1,08/12/2018,Ath Madrid,Alaves,3,0,1,0,-278,350,900,121,-152,-1
SP1,08/12/2018,Espanol,Barcelona,0,4,0,3,550,333,-200,-172,136,1
SP1,08/12/2018,Valencia,Sevilla,1,1,0,0,120,250,220,-119,-104,-0.25
SP1,08/12/2018,Villarreal,Celta,2,3,0,1,-139,280,375,-141,113,-1
SP1,09/12/2018,Betis,Vallecano,2,0,0,0,-189,333,500,-159,126,-1
