Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,01/01/2018,Stoke,Newcastle,0,1,0,0,129,229,250,114,-118,-0.25
E0,02/01/2018,Man City,Watford,3,1,2,0,-833,750,1800,-270,275,-2
E0,02/01/2018,Southampton,Crystal Palace,1,2,1,0,-111,239,300,113,-116,-0.75
E0,02/01/2018,Swansea,Tottenham,0,2,0,1,1100,375,-333,-120,120,1.5
E0,02/01/2018,West Ham,West Brom,2,1,0,1,-111,239,309,145,-154,-0.5
E0,03/01/2018,Arsenal,Chelsea,2,2,0,0,160,239,160,-143,135,-0.25
E0,04/01/2018,Tottenham,West Ham,1,1,0,0,-400,500,900,-164,155,-1.75
E0,13/01/2018,Chelsea,Leicester,0,0,0,0,-333,475,1100,-169,157,-1.5
E0,13/01/2018,Crystal Palace,Burnley,1,0,1,0,100,229,350,150,-159,-0.25
E0,13/01/2018,Huddersfield,West Ham,1,4,1,1,162,210,210,160,-167,-0.25
E0,13/01/2018,Newcastle,Swansea,1,1,0,0,-105,239,350,145,-154,-0.75
E0,13/01/2018,Tottenham,Everton,4,0,1,0,-357,500,1200,-133,125,-1.5
E0,13/01/2018,Watford,Southampton,2,2,0,2,150,239,200,100,-109,-0.25
E0,13/01/2018,West Brom,Brighton,2,0,1,0,114,200,333,214,-222,-0.25
E0,14/01/2018,Bournemouth,Arsenal,2,1,0,0,375,320,-133,-182,162,0.75
E0,14/01/2018,Liverpool,Man City,4,3,1,1,210,275,129,-179,175,0.25
E0,15/01/2018,Man United,Stoke,3,0,2,0,-455,600,1400,-182,167,-1.75
E0,20/01/2018,Arsenal,Crystal Palace,4,1,4,0,-200,375,600,-156,145,-1
E0,20/01/2018,Brighton,Chelsea,0,4,0,2,550,289,-164,128,-135,0.75
E0,20/01/2018,Burnley,Man United,0,1,0,0,650,289,-175,125,-135,1
E0,20/01/2018,Everton,West Brom,1,1,0,1,114,220,300,163,-175,-0.25
E0,20/01/2018,Leicester,Watford,2,0,1,0,-118,289,333,-125,119,-0.75
