Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,01/01/11,Stoke,Everton,2,0,1,0,163,220,175,142,-149
E0,01/01/11,Sunderland,Blackburn,3,0,2,0,-120,250,350,121,-123
E0,01/01/11,Tottenham,Fulham,1,0,1,0,-250,350,750,-108,105
E0,01/01/11,West Brom,Man United,1,2,1,1,500,320,-189,-115,116
E0,01/01/11,West Ham,Wolves,2,0,0,0,100,240,280,111,-119
E0,02/01/11,Chelsea,Aston Villa,3,3,1,1,-400,450,1200,-156,140
E0,02/01/11,Wigan,Newcastle,0,1,0,1,150,220,190,119,-125
E0,04/01/11,Blackpool,Birmingham,1,2,0,1,130,225,225,107,-111
E0,04/01/11,Fulham,West Brom,3,0,1,0,120,225,240,126,-141
E0,04/01/11,Man United,Stoke,2,1,1,0,-400,475,1100,-152,138
E0,05/01/11,Arsenal,Man City,0,0,0,0,-110,260,300,-116,107
E0,05/01/11,Aston Villa,Sunderland,0,1,0,0,120,225,240,111,-110
E0,05/01/11,Blackburn,Liverpool,3,1,2,0,240,225,120,114,-123
E0,05/01/11,Bolton,Wigan,1,1,0,0,-137,260,400,-104,100
E0,05/01/11,Everton,Tottenham,2,1,1,1,163,225,175,107,-116
E0,05/01/11,Newcastle,West Ham,5,0,3,0,-120,260,333,102,-106
E0,05/01/11,Wolves,Chelsea,1,0,1,0,700,320,-227,-125,120
E0,12/01/11,Blackpool,Liverpool,2,1,1,1,280,275,-110,-125,116
E0,15/01/11,Chelsea,Blackburn,2,0,0,0,-345,450,1000,-159,139
E0,15/01/11,Man City,Wolves,4,3,1,1,-303,400,900,-135,121
E0,15/01/11,Stoke,Bolton,2,0,1,0,110,225,275,128,-135
E0,15/01/11,West Brom,Blackpool,3,2,1,1,-125,260,350,-149,138
E0,15/01/11,West Ham,Arsenal,0,3,0,2,500,300,-175,-116,112
E0,15/01/11,Wigan,Fulham,1,1,0,0,150,225,188,138,-143
E0,16/01/11,Birmingham,Aston Villa,1,1,0,0,140,220,210,128,-132
E0,16/01/11,Liverpool,Everton,2,2,1,0,120,220,250,128,-133
E0,16/01/11,Sunderland,Newcastle,1,1,0,0,120,225,240,119,-125
E0,16/01/11,Tottenham,Man United,0,0,0,0,188,230,150,100,-104
E0,22/01/11,Arsenal,Wigan,3,0,1,0,-500,550,1400,-182,160
E0,22/01/11,Aston Villa,Man City,1,0,1,0,250,240,110,102,-109
E0,22/01/11,Blackpool,Sunderland,1,2,0,2,150,225,188,-111,104
E0,22/01/11,Everton,West Ham,2,2,0,1,-200,300,650,-105,-103
E0,22/01/11,Fulham,Stoke,2,0,1,0,120,220,250,142,-149
E0,22/01/11,Man United,Birmingham,5,0,3,0,-500,550,1400,-145,129
E0,22/01/11,Newcastle,Tottenham,1,1,0,0,250,240,110,-111,102
E0,22/01/11,Wolves,Liverpool,0,3,0,1,240,220,125,117,-127
E0,23/01/11,Blackburn,West Brom,2,0,1,0,125,230,225,-110,106
E0,24/01/11,Bolton,Chelsea,0,4,0,2,500,275,-161,-105,106
E0,25/01/11,Blackpool,Man United,2,3,2,0,700,400,-278,-175,168
E0,25/01/11,Wigan,Aston Villa,1,2,0,0,220,225,130,110,-114
E0,26/01/11,Liverpool,Fulham,1,0,0,0,-189,280,600,111,-119
E0,01/02/11,Arsenal,Everton,2,1,0,1,-250,350,750,-116,113
E0,01/02/11,Man United,Aston Villa,3,1,2,0,-303,400,850,-145,133
E0,01/02/11,Sunderland,Chelsea,2,4,2,2,450,260,-149,112,-118
E0,01/02/11,West Brom,Wigan,2,2,1,2,-137,260,400,-109,106
E0,02/02/11,Birmingham,Man City,2,2,1,2,350,250,-120,111,-120
E0,02/02/11,Blackburn,Tottenham,0,1,0,1,225,240,120,103,-108
E0,02/02/11,Blackpool,West Ham,1,3,1,3,138,230,200,-128,119
E0,02/02/11,Bolton,Wolves,1,0,0,0,-120,250,350,103,-110
E0,02/02/11,Fulham,Newcastle,1,0,0,0,110,230,260,125,-135
E0,02/02/11,Liverpool,Stoke,2,0,0,0,-161,275,500,114,-127
E0,05/02/11,Aston Villa,Fulham,2,2,1,0,-110,240,320,125,-130
E0,05/02/11,Everton,Blackpool,5,3,1,1,-227,350,600,-149,142
E0,05/02/11,Man City,West Brom,3,0,3,0,-250,350,750,-137,136
E0,05/02/11,Newcastle,Arsenal,4,4,0,4,400,300,-149,-116,109
E0,05/02/11,Stoke,Sunderland,3,2,1,1,110,220,275,142,-149
E0,05/02/11,Tottenham,Bolton,2,1,1,0,-175,300,500,-111,104
E0,05/02/11,Wigan,Blackburn,4,3,1,1,150,225,190,128,-137
E0,05/02/11,Wolves,Man United,2,1,2,1,750,350,-250,-118,115
E0,06/02/11,Chelsea,Liverpool,0,1,0,0,-161,300,450,105,-108
E0,06/02/11,West Ham,Birmingham,0,1,0,0,100,250,275,111,-119
E0,12/02/11,Arsenal,Wolves,2,0,1,0,-455,500,1400,-167,151
E0,12/02/11,Birmingham,Stoke,1,0,0,0,150,220,190,138,-147
E0,12/02/11,Blackburn,Newcastle,0,0,0,0,110,240,250,-101,-105
E0,12/02/11,Blackpool,Aston Villa,1,1,1,1,225,240,120,-167,150
E0,12/02/11,Liverpool,Wigan,1,1,1,0,-278,375,800,-105,110
E0,12/02/11,Man United,Man City,2,1,1,0,-137,260,400,111,-118
E0,12/02/11,Sunderland,Tottenham,1,2,1,1,175,225,160,110,-112
E0,12/02/11,West Brom,West Ham,3,3,3,0,-110,260,300,-130,120
E0,13/02/11,Bolton,Everton,2,0,1,0,175,225,160,109,-120
E0,14/02/11,Fulham,Chelsea,0,0,0,0,400,260,-137,110,-116
E0,15/02/11,Birmingham,Newcastle,0,2,0,1,160,220,180,138,-137
E0,20/02/11,West Brom,Wolves,1,1,0,1,-118,240,350,-111,102
E0,22/02/11,Blackpool,Tottenham,3,1,2,0,300,260,-110,-141,163
E0,23/02/11,Arsenal,Stoke,1,0,1,0,-333,425,900,-154,142
E0,26/02/11,Aston Villa,Blackburn,4,1,0,0,-137,260,400,-104,100
E0,26/02/11,Everton,Sunderland,2,0,2,0,-137,260,400,107,-116
E0,26/02/11,Newcastle,Bolton,1,1,1,1,110,225,275,107,-118
E0,26/02/11,Wigan,Man United,0,4,0,1,550,300,-189,-104,100
E0,26/02/11,Wolves,Blackpool,4,0,1,0,-120,260,333,-132,125
E0,27/02/11,Man City,Fulham,1,1,1,0,-200,300,650,103,-110
E0,27/02/11,West Ham,Liverpool,3,1,2,0,240,230,120,121,-135
E0,28/02/11,Stoke,West Brom,1,1,0,0,-110,240,320,106,-116
E0,01/03/11,Chelsea,Man United,2,1,0,1,120,220,260,136,-141
E0,05/03/11,Arsenal,Sunderland,0,0,0,0,-227,333,650,-115,111
E0,05/03/11,Birmingham,West Brom,1,3,0,0,138,220,210,129,-137
E0,05/03/11,Bolton,Aston Villa,3,2,1,1,125,240,220,103,-111
E0,05/03/11,Fulham,Blackburn,3,2,1,1,-137,260,400,120,-125
E0,05/03/11,Man City,Wigan,1,0,1,0,-278,375,800,-118,110
E0,05/03/11,Newcastle,Everton,1,2,1,2,160,220,180,114,-125
E0,05/03/11,West Ham,Stoke,3,0,2,0,125,230,225,125,-133
E0,06/03/11,Liverpool,Man United,3,1,2,0,180,220,160,125,-133
E0,06/03/11,Wolves,Tottenham,3,3,2,2,200,230,138,108,-119
E0,07/03/11,Blackpool,Chelsea,1,3,0,1,900,450,-333,-175,170
E0,09/03/11,Everton,Birmingham,1,1,1,1,-189,300,550,114,-125
E0,19/03/11,Aston Villa,Wolves,0,1,0,1,-120,250,350,-118,112
E0,19/03/11,Blackburn,Blackpool,2,2,0,2,-125,260,350,-149,145
E0,19/03/11,Everton,Fulham,2,1,1,0,100,225,300,136,-137
E0,19/03/11,Man United,Bolton,1,0,0,0,-278,375,800,-139,136
E0,19/03/11,Stoke,Newcastle,4,0,1,0,120,225,240,135,-137
E0,19/03/11,Tottenham,West Ham,0,0,0,0,-175,300,500,-128,121
E0,19/03/11,West Brom,Arsenal,2,2,1,0,400,260,-137,-130,117
E0,19/03/11,Wigan,Birmingham,2,1,1,1,110,230,260,122,-133
E0,20/03/11,Chelsea,Man City,2,0,0,0,-161,275,500,110,-119
E0,20/03/11,Sunderland,Liverpool,0,2,0,1,163,220,175,142,-149
E0,02/04/11,Arsenal,Blackburn,0,0,0,0,-400,500,1000,-182,162
E0,02/04/11,Birmingham,Bolton,2,1,1,0,150,225,188,125,-133
E0,02/04/11,Everton,Aston Villa,2,2,1,0,-120,260,333,-105,-101
E0,02/04/11,Newcastle,Wolves,4,1,2,0,-105,240,300,-103,-105
E0,02/04/11,Stoke,Chelsea,1,1,1,1,450,260,-149,104,-111
E0,02/04/11,West Brom,Liverpool,2,1,0,0,200,230,138,114,-125
