Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,17/12/2018,Atalanta,Lazio,1,0,1,0,120,260,210,-133,128,-0.25
I1,18/12/2018,Bologna,Milan,0,0,0,0,320,240,-105,106,-115,0.5
I1,22/12/2018,Chievo,Inter,1,1,0,1,750,333,-250,-105,100,1
I1,22/12/2018,Empoli,Sampdoria,2,4,1,1,130,240,210,-123,116,-0.25
I1,22/12/2018,Genoa,Atalanta,3,1,1,0,300,260,-111,-118,111,0.75
I1,22/12/2018,Juventus,Roma,1,0,1,0,-227,333,700,-118,111,-1
I1,22/12/2018,Lazio,Cagliari,3,1,2,0,-303,400,800,-154,150,-1.5
I1,22/12/2018,Milan,Fiorentina,0,1,0,0,130,225,225,102,-109,-0.25
I1,22/12/2018,Napoli,Spal,1,0,1,0,-500,600,1200,-200,183,-2
I1,22/12/2018,Parma,Bologna,0,0,0,0,154,210,200,138,-147,0
I1,22/12/2018,Sassuolo,Torino,1,1,0,0,162,220,180,125,-133,-0.25
I1,22/12/2018,Udinese,Frosinone,1,1,1,0,-143,270,425,101,-109,-1
I1,26/12/2018,Atalanta,Juventus,2,2,1,1,375,250,-125,106,-114,1
I1,26/12/2018,Bologna,Lazio,0,2,0,1,400,280,-139,-115,106,1
I1,26/12/2018,Cagliari,Genoa,1,0,1,0,130,220,230,127,-132,-0.25
I1,26/12/2018,Fiorentina,Parma,0,1,0,1,-167,280,500,-105,-103,-1
I1,26/12/2018,Frosinone,Milan,0,0,0,0,425,275,-143,105,-105,1
I1,26/12/2018,Inter,Napoli,1,0,0,0,175,230,162,101,-108,0
I1,26/12/2018,Roma,Sassuolo,3,1,2,0,-164,300,425,-152,140,-1
I1,26/12/2018,Sampdoria,Chievo,2,0,0,0,-133,270,400,110,-112,-1
I1,26/12/2018,Spal,Udinese,0,0,0,0,150,210,210,140,-147,0
I1,26/12/2018,Torino,Empoli,3,0,1,0,-143,280,400,-105,101,-1
I1,29/12/2018,Chievo,Frosinone,1,0,0,0,130,200,240,135,-141,-0.25
I1,29/12/2018,Empoli,Inter,0,1,0,0,550,320,-200,-143,133,1
I1,29/12/2018,Genoa,Fiorentina,0,0,0,0,154,225,170,115,-123,-0.25
I1,29/12/2018,Juventus,Sampdoria,2,1,1,1,-500,550,1200,-149,145,-2
I1,29/12/2018,Lazio,Torino,1,1,0,1,-133,260,360,-122,115,-1
I1,29/12/2018,Milan,Spal,2,1,1,1,-200,300,600,-115,107,-1
I1,29/12/2018,Napoli,Bologna,3,2,1,1,-357,450,900,-161,150,-1.5
I1,29/12/2018,Parma,Roma,0,2,0,0,375,280,-143,-122,113,1
I1,29/12/2018,Sassuolo,Atalanta,2,6,0,2,240,250,104,-125,121,0.5
I1,29/12/2018,Udinese,Cagliari,2,0,1,0,130,210,220,145,-152,-0.25
I1,19/01/2019,Inter,Sassuolo,0,0,0,0,-250,375,700,-147,136,-1.5
I1,19/01/2019,Roma,Torino,3,2,2,0,-167,300,475,-147,136,-1
I1,19/01/2019,Udinese,Parma,1,2,0,1,110,210,300,145,-154,-0.5
